"SQINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2"
"13000","Georgia","3","Per capita personal income (dollars) 2/",34322,34636,34988,35353,36594,36696,37044,37026,37217,37350,37191,38295,37452,37779,37842,38111,39084,39737,40283,40806,41485,41854,42168,42336,42742,42882,43166,43515,44377,44817,45192,45778,46304,46669,47130,47386,48427,48624,48828,49194,49653,54031,52374,51011,58080,54442
"15000","Hawaii *","1","Personal income (millions of dollars, seasonally adjusted)",55706.8,56352.8,57217.5,57727.3,58786.9,58986.1,59319.9,60059.5,60817.6,61537.3,61333.5,62539.8,61799.5,62200.0,62699.2,63386.3,64590.2,65691.5,66591.6,67273.4,68137.9,68846.9,69365.8,70085.6,70674.5,71193.2,71835.2,72583.8,73548.8,74116.8,74729.9,75431.4,75425.7,75814.3,76489.7,77006.0,77668.6,78172.3,78743.1,79480.4,77356.7,87787.7,82980.6,81984.4,91749.7,85039.6
"15000","Hawaii *","2","Population (midperiod, persons) 1/",1358217,1362128,1366093,1370212,1373990,1377640,1381688,1385819,1389600,1393288,1397207,1401075,1404282,1407202,1409708,1411653,1413153,1414508,1416537,1418802,1420500,1422085,1423877,1425496,1426795,1428107,1428668,1428230,1427283,1426138,1425613,1425263,1424382,1423427,1422350,1420781,1418688,1416525,1414992,1413642,1411684,1408762,1405965,1403784,1401274,1398512
"15000","Hawaii *","3","Per capita personal income (dollars) 2/",41015,41371,41884,42130,42786,42817,42933,43339,43766,44167,43897,44637,44008,44201,44477,44902,45706,46441,47010,47416,47968,48413,48716,49166,49534,49851,50281,50821,51531,51970,52419,52925,52953,53262,53777,54200,54747,55186,55649,56224,54797,62315,59020,58402,65476,60807
"16000","Idaho","1","Personal income (millions of dollars, seasonally adjusted)",49267.5,50021.7,50865.0,51576.0,52672.1,53021.8,53560.1,53840.9,54946.1,55683.9,55914.4,58163.8,57248.3,58319.5,58845.7,59201.4,60010.8,61416.0,62253.6,63525.1,64984.2,65103.4,65820.7,65994.3,67324.5,67619.2,68227.7,68866.0,70760.4,71716.0,72450.2,73339.1,75554.0,76201.0,76983.2,77984.4,80815.9,81547.4,82129.2,82844.1,86666.9,92365.1,87911.3,89367.6,101872.6,93450.3
"16000","Idaho","2","Population (midperiod, persons) 1/",1565685,1569219,1572733,1576305,1579342,1582523,1585898,1589013,1591693,1594423,1598225,1602602,1606165,1609951,1614746,1620112,1624860,1629696,1635093,1640511,1645127,1649906,1656661,1664809,1672326,1679997,1688742,1698025,1706569,1715192,1724035,1732413,1740036,1747931,1756936,1766476,1775302,1784341,1794201,1804300,1813615,1822513,1831954,1841857,1850797,1860060
"16000","Idaho","3","Per capita personal income (dollars) 2/",31467,31877,32342,32720,33351,33505,33773,33883,34521,34924,34985,36293,35643,36224,36443,36542,36933,37686,38073,38723,39501,39459,39731,39641,40258,40250,40401,40557,41464,41812,42024,42334,43421,43595,43817,44147,45522,45702,45775,45915,47787,50680,47988,48520,55043,50240
"17000","Illinois","1","Personal income (millions of dollars, seasonally adjusted)",531517.6,540240.9,547732.5,552846.1,566440.6,568297.2,571745.8,572618.6,586856.4,593256.9,590479.6,609701.3,602941.2,608912.5,611306.8,615953.8,626125.4,634994.1,642134.8,651305.6,659092.3,664853.0,670776.5,673052.9,667847.1,670294.2,675743.2,680879.3,681101.2,688723.0,696351.9,707147.8,715495.2,724094.0,733101.2,740774.3,742298.6,744926.0,750430.5,757591.4,760301.6,814570.1,799747.1,793923.0,885872.2,841320.6
"17000","Illinois","2","Population (midperiod, persons) 1/",12827357,12835849,12846033,12854915,12859449,12864139,12871295,12876823,12879154,12881041,12887208,12893225,12893027,12893754,12895991,12895776,12891026,12886369,12884398,12880835,12871318,12862636,12856676,12849190,12837195,12826006,12818447,12810571,12797623,12784650,12774957,12763531,12746490,12731033,12719357,12707131,12689730,12673674,12660557,12646093,12625670,12600937,12578779,12559673,12534991,12511672
"17000","Illinois","3","Per capita personal income (dollars) 2/",41436,42088,42638,43007,44049,44177,44420,44469,45566,46057,45819,47289,46765,47225,47403,47764,48571,49276,49838,50564,51206,51689,52173,52381,52024,52261,52716,53150,53221,53871,54509,55404,56133,56876,57637,58296,58496,58777,59273,59907,60219,64644,63579,63212,70672,67243
